,Date,Type,Item,Quantity,Unit Price ($),Notes,Total Value
1,2025-11-01,Sale,Bread,25,4.99,Morning rush sales,124.75
2,2025-11-01,Sale,Milk,30,3.99,,119.7
4,2025-11-02,Sale,Bread,30,4.99,,149.70000000000002
5,2025-11-02,Sale,Egg,40,0.4,"Sold by unit, not dozen",16.0
7,2025-11-03,Sale,Milk,35,3.99,,139.65
8,2025-11-03,Sale,Bread,20,4.99,,99.80000000000001
10,2025-11-04,Sale,Apple,50,0.6,,30.0
11,2025-11-04,Sale,Egg,55,0.4,,22.0
12,2025-11-05,Sale,Milk,45,3.99,Afternoon traffic,179.55
13,2025-11-05,Sale,Apple,60,0.6,,36.0
15,2025-11-06,Sale,Bread,40,4.99,,199.60000000000002
16,2025-11-06,Sale,Egg,65,0.4,,26.0
18,2025-11-07,Sale,Milk,50,3.99,End-of-week demand,199.5
19,2025-11-07,Sale,Apple,75,0.6,,45.0
